Sale barns and their codes

Alabama
1995 - Alabama Livestock Auction - Uniontown, AL
1991 - Arab Livestock Market - Arab, AL
1979 - Arab Livestock Market Feeder Cattle Board Sale - Arab, AL
2003 - Ashville Stockyard - Ashville, AL
1989 - Clay County Livestock Auction - Lineville, AL
1986 - Coffee County Stockyards - New Brockton, AL
2001 - Cullman Stockyard Cattle Auction - Cullman, AL
1996 - Dothan Livestock Co. - Dothan, AL
1993 - Fort Payne Livestock - Ft. Payne, AL
1984 - Frisco City Stockyard - Frisco City, AL
1988 - Mid State Stockyards LLP - Letohatchee, AL
2029 - Mid State Stockyards Feeder Cattle Board Sale - Letohatchee, AL
2007 - Northwest Alabama Livestock Cattle Sale - Russellville, AL
1985 - Opp Livestock - Opp, AL
2031 - Opp Livestock Feeder Cattle Board Sale - Opp, AL
1999 - Roanoke Stockyards - Roanoke, AL
2032 - Roanoke Stockyards Feeder Cattle Board Sale - Roanoke, AL
1998 - Sand Mountain Stockyards Inc. - Kilpatrick, AL
2033 - Sand Mountain Stockyards Inc. Feeder Cattle Board Sale - Kilpatrick, AL
2000 - South Alabama Stockyards - Brundidge, AL
1997 - Tennessee Valley Livestock - Florence, AL
1987 - Valley Livestock - Moulton, AL
2034 - Valley Livestock Feeder Cattle Board Sale - Moulton, AL

Arkansas
2052 - Arkansas Cattle Auction LLC - Searcy, AR
2059 - Ash Flat Livestock Auction - Ash Flat, AR
2051 - Benton County Sale Barn - Siloam Springs, AR
1684 - McGrew Livestock Auction  - Glenwood, AR
3475 - Cattlemen's Livestock Exchange - Cord, AR
2055 - Cleburne County Livestock Auction - Heber Springs, AR
2057 - County Line Sale - Ratcliff, AR
2058 - Hope Livestock Auction - Hope, AR
2053 - I-40 Livestock - Ozark, AR
2050 - North Arkansas Livestock - GreenForest, AR
2054 - Ouachita Livestock Auction - Ola, AR

Florida
1418 - Columbia Livestock Auction – Lake City, FL 
1608 - Okeechobee Livestock Auction – Okeechobee, FL 
1419 - Okeechobee Livestock Auction – Okeechobee, FL 
1607 - Cattlemen’s Livestock Auction – Lakeland, FL 
1420 - Townsend Livestock Auction – Madison, FL  
1424 - Ocala Livestock Auction - Ocala, FL 
1609 - Arcadia Livestock Auction – Arcadia, FL 
1422 - Arcadia Livestock Auction – Arcadia, FL 
1423 - North Florida Livestock Auction – Ellisville, FL 

Georgia
1946 - Calhoun Stockyard - Calhoun, GA
1949 - Carroll County Livestock - Carrollton, GA
1948 - Duvall Livestock - Greensboro, GA
1930 - Eastanollee Livestock - Eastanollee, GA
1935 - Franklin County Livestock - Carnesville, GA
1936 - Lanier Farmers Livestock - Gainesville, GA
1942 - Mid-Georgia Livestock - Jackson, GA
1943 - Moultrie Livestock - Moultrie, GA
1940 - Northeast Georgia Livestock - Athens, GA
1937 - Pulaski County Stockyard - Hawkinsville, GA
1941 - Seminole Livestock Exchange - Donalsonville, GA
1947 - South Central Livestock - Fitzgerald, GA
1934 - Southern Livestock - Oak Park, GA
1945 - Sumter County Stockyard - Americus, GA
1931 - Swainsboro Stockyard - Swainsboro, GA
1938 - Thomasville Stockyard - Thomasville, GA
1939 - Turner County Stockyard - Ashburn, GA
1944 - Wilkes County Stockyard - Washington, GA

North Carolina
2095 - Carolina Stockyards Livestock Auction (Monday) - Siler City, NC
2087 - Carolina Stockyards Livestock Auction (Friday) - Siler City, NC
2092 - Cleveland County Agriculture & Livestock Exchange - Shelby, NC
2088 - Harward Brothers Livestock Market - Turnersburg, NC
2083 - North Carolina Graded Cattle Auction
2094 - Powell Livestock Market - Smithfield, NC
2093 - Stanly County Livestock Market - Norwood, NC
2089 - Wilkes Livestock Exchange - North Wilkesboro, NC
2090 - WNC Regional Livestock Center - Canton, NC

South Carolina
1960 - Chester Livestock Exchange - Chester, SC
1959 - Laurens Livestock Exchange - Laurens, SC
1956 - Low Country Livestock Exchange - Darlington, SC
1964 - Orangeburg Stockyards - Orangeburg, SC
1961 - Saluda Stockyards - Saluda, SC
1958 - Upstate Livestock Exchange - Williamston, SC

Mississippi
2117 - Brookhaven Stockyard - Brookhaven, MS
2125 - Cattlemens Livestock - West Point, MS
2124 - Grenada Stockyard - Grenada, MS
2126 - Lipscomb Brother's Livestock Market, Inc.- Como, MS
2120 - Lucedale Stockyard - Lucedale, MS
2122 - Macon Stockyard - Macon, MS
2112 - Meridian Stockyard - Meridian, MS
2123 - Peoples Livestock Auction - Houston, MS
2116 - Philadelphia Stockyard -Philadelphia, MS
2113 - Southeast Mississippi Livestock - Hattiesburg, MS
2114 - Tadlock Stockyards - Forest, MS
2118 - Tylertown Stockyard - Tylertown, MS
2119 - Winona Stockyard - Winona, MS

Tennessee
2060 - Athens Regional Stockyard - Athens, TN
2061 - Crossville Stockyard - Crossville, TN
2064 - Dickson Regional Livestock Center - Dickson, TN
2070 - Volunteer Stockyards - Greeneville, TN
2068 - Hardin County Stockyard - Savannah, TN
2066 - Knoxville Livestock Center - Knoxville, TN
2069 - Mid-South Livestock Regional Center LLC - Unionville, TN
2062 - Smith County Commission Co. - Carthage, TN
2065 - Southwestern Sales Co. - Huntingdon, TN
2067 - East Tennessee Livestock Center - Sweetwater, TN
2079 -  Warren Co. Livestock Graded Sale - McMinnville, TN
